priority,group,filename,slot_key,slot_type,quantity,where_shown,description,accent_hex,accent_name,tint_hex,tint_name,aspect_ratio,recommended_px,format,background,notes
1,Brand chrome,logo.svg,Logo.astro,brand,1,"Nav, footer, favicon","Paper-boat logomark plus wordmark; must read clearly at 16px",#e07856,Coral (full palette),#fbeae3,Coral tint,n/a (vector),16-256px,SVG,Transparent,Still an inline SVG placeholder in Logo.astro — affects every page now
2,Brand chrome,hero-home.png,index.astro hero,brand,1,Homepage hero (the flagship piece),"Boat on waves with sun and clouds; hopeful and calm",#7da8c3,Sky (multi-colour scene),#e9f1f6,Sky tint,7:5,840x600,SVG or PNG,Transparent,Still an inline SVG placeholder in index.astro — the single most prominent image
3,Brand chrome,og-default.png,og-default.svg,brand,1,Social/link-preview image everywhere,"Wordmark + tagline + hero art for link previews",#5b7a5e,Sage (full palette),#faf9f6,Warm off-white,1.91:1,1200x630,PNG,Solid warm off-white,Replaces the current placeholder export; social images must NOT be transparent
4,Brand chrome,404.png,404.astro,chrome,1,The 404 error page,"A capsized paper boat; gently humorous, warm not bleak",#7da8c3,Sky,#e9f1f6,Sky tint,3:2,600x400,SVG or PNG,Transparent,Still an inline SVG placeholder in 404.astro
5,New topics,sleep.png,sleep,topic,1,"Cards, article headers, /topics/sleep","A moon or sleeping shape, restful and calm",#6b5b8a,Plum,#f0ecf5,Plum tint,3:2,600x400,PNG,Transparent,Anticipated tag — add to topicArt.ts when the first sleep article lands
6,New topics,food.png,food,topic,1,"Cards, article headers, /topics/food","A bowl/plate or shared mealtime; warm and inviting",#c17f2e,Amber,#fdf3e4,Amber tint,3:2,600x400,PNG,Transparent,Anticipated tag — the cooking article would use this once split out from family-life
7,New topics,behaviour.png,behaviour,topic,1,"Cards, article headers, /topics/behaviour","Gentle interaction between two figures; patience and connection",#7da8c3,Sky,#e9f1f6,Sky tint,3:2,600x400,PNG,Transparent,Anticipated tag
8,New topics,screens.png,screens,topic,1,"Cards, article headers, /topics/screens","A device or screen shape, balanced not alarmist",#6b5b8a,Plum,#f0ecf5,Plum tint,3:2,600x400,PNG,Transparent,Anticipated tag — pairs with the existing online-safety content
9,New topics,play.png,play,topic,1,"Cards, article headers, /topics/play","Playful shapes / a ball or kite; movement and fun",#e8b84b,Sunshine,#fdf6e3,Sunshine tint,3:2,600x400,PNG,Transparent,Anticipated tag — the outdoor-play article would use this once split out
10,Future sections,section-games.png,games,section,1,Games index hero + nav badge,"Board-game / family-play feel; playful but calm, not arcade",#e07856,Coral,#fbeae3,Coral tint,3:2,600x400,PNG,Transparent,Roadmap Phase 4 — coral is the reserved games accent
11,Future sections,section-recommended.png,recommended,section,1,Recommended / Toys index hero,"A gift or star-rated object; trustworthy, not salesy",#e8b84b,Sunshine,#fdf6e3,Sunshine tint,3:2,600x400,PNG,Transparent,Roadmap Phase 6 (Amazon recommendations)
12,Future sections,section-deals.png,deals,section,1,Deals index hero,"A pushchair / big-ticket item with a tag; practical and honest",#7da8c3,Sky,#e9f1f6,Sky tint,3:2,600x400,PNG,Transparent,Roadmap Phase 6 (parent deals)
13,Games assets,game-memory-match.png,memory-match,game-cover,1,Game card + gate screen,"Cover reusing the Memory Match topic-tile art",#e07856,Coral,#fbeae3,Coral tint,3:2,600x400,PNG,Transparent,Roadmap Phase 4 — the free-preview first game
14,Games assets,game-word-sprout.png,word-sprout,game-cover,1,Game card + gate screen,"Cover for the cooperative daily word puzzle",#7da8c3,Sky,#e9f1f6,Sky tint,3:2,600x400,PNG,Transparent,Roadmap Phase 5
15,Games assets,game-bedtime-story-spinner.png,bedtime-story-spinner,game-cover,1,Game card + gate screen,"Cover for the three-wheel story-prompt game",#6b5b8a,Plum,#f0ecf5,Plum tint,3:2,600x400,PNG,Transparent,Roadmap Phase 5
16,Games assets,game-kitchen-maths-market.png,kitchen-maths-market,game-cover,1,Game card + gate screen,"Cover for the pretend-shop arithmetic game",#c17f2e,Amber,#fdf3e4,Amber tint,3:2,600x400,PNG,Transparent,Roadmap Phase 5
17,Games assets,game-family-quiz-night.png,family-quiz-night,game-cover,1,Game card + gate screen,"Cover for the weekly family quiz",#e8b84b,Sunshine,#fdf6e3,Sunshine tint,3:2,600x400,PNG,Transparent,Roadmap Phase 5
18,Membership,email-header.png,email-header,email,1,Welcome email + weekly digest header,"Horizontal brand banner that survives email clients",#5b7a5e,Sage (full palette),#e8efe9,Sage tint,3:1,1200x400,PNG,Solid warm off-white,Roadmap Phase 2/5 — must be PNG for email; no transparency
19,Membership,unlock.png,unlock,state,1,Games gate success / membership confirmed,"Boat with a raised flag; gentle celebration, soft confetti",#e07856,Coral,#fbeae3,Coral tint,1:1,400x400,SVG or PNG,Transparent,Roadmap Phase 4
20,Empty states,empty-state.png,empty-state,state,2,'Nothing here yet' on lists and search,"Quiet, friendly waiting imagery (e.g. moored boat); two variants",#7da8c3,Sky,#e9f1f6,Sky tint,3:2,600x400,SVG or PNG,Transparent,Two pieces — one for empty lists, one for no-results search
21,Games assets,spinner-faces,story-spinner,game-asset,18,Bedtime Story Spinner wheels,"Small spot illustrations: 6 characters, 6 places, 6 problems",#6b5b8a,Plum (multi),#f0ecf5,Plum tint,1:1,240x240,SVG,Transparent,Largest single batch — quote separately; Roadmap Phase 5
22,Games assets,memory-card-back.png,memory-card-back,game-asset,1,Memory Match card backs,"One repeating pattern tile using the paper-boat brand motif",#e8b84b,Sunshine,#fdf6e3,Sunshine tint,1:1,240x240,SVG or PNG,Transparent,Roadmap Phase 4 — seamless/tileable
