priority,filename,slot_key,slot_type,usage_count,where_shown,description,accent_hex,accent_name,tint_hex,tint_name,aspect_ratio,recommended_px,format,background,notes
1,health.png,health,topic,12 articles,"Cards, article headers, and the /topics/health page","Growing heart-leaf — a single leaf shaped like a heart sprouting upward; care and wellbeing",#5b7a5e,Sage green,#e8efe9,Sage tint,3:2,600x400,PNG or WebP,Transparent,Most-used tag — highest visual impact
2,family-life.png,family-life,topic,11 articles,"Cards, article headers, and the /topics/family-life page","A house with a sun above it; home and everyday life",#e07856,Coral,#fbeae3,Coral tint,3:2,600x400,PNG or WebP,Transparent,
3,good-news.png,good-news,topic,3 articles,"Good-news cards plus the homepage 'A Bit of Good News' band","A kite climbing into sunshine; uplift and optimism",#e8b84b,Sunshine yellow,#fdf6e3,Sunshine tint,3:2,600x400,PNG or WebP,Transparent,Disproportionately visible — also on the homepage band
4,education.png,education,topic,5 articles,"Cards, article headers, and the /topics/education page","An open book with a sprouting seedling rising from it; learning",#7da8c3,Sky blue,#e9f1f6,Sky tint,3:2,600x400,PNG or WebP,Transparent,
5,safety.png,safety,topic,4 articles,"Cards, article headers, and the /topics/safety page","An umbrella sheltering a small shape; protection without fear",#c17f2e,Amber,#fdf3e4,Amber tint,3:2,600x400,PNG or WebP,Transparent,
6,special-needs.png,special-needs,topic,3 articles,"Cards, article headers, and the /topics/special-needs page","An infinity loop (neurodiversity symbol) with small stars; neurodiversity and inclusion",#6b5b8a,Plum,#f0ecf5,Plum tint,3:2,600x400,PNG or WebP,Transparent,
7,articles.png,articles,section,11 evergreen,Hero banner on the /articles index page,"Stacked pages with a leaf bookmark; researched written guides",#5b7a5e,Sage green,#e8efe9,Sage tint,3:2,600x400,PNG or WebP,Transparent,Section hero — renders ~180px wide
8,topics.png,topics,section,all topics,Hero banner on the /topics index page,"Scattered simple shapes (circle, square, triangle); many topics gathered",#7da8c3,Sky blue,#e9f1f6,Sky tint,3:2,600x400,PNG or WebP,Transparent,Section hero — high-traffic browse page
9,curated.png,curated,section,7 curated,Hero banner on the /curated index page,"A compass pointing outward; hand-picked links elsewhere",#c17f2e,Amber,#fdf3e4,Amber tint,3:2,600x400,PNG or WebP,Transparent,Section hero
10,editorial.png,editorial,section,2 editorials,Hero banner on the /editorial index page,"A speech bubble with a quill stroke; the editor's voice and perspective",#6b5b8a,Plum,#f0ecf5,Plum tint,3:2,600x400,PNG or WebP,Transparent,Section hero
11,default.png,defaultArt,fallback,n/a,"Brand fallback when an article's tags match no topic; the site motif","A paper boat riding a wave; the yourkids.com brand motif",#e8b84b,Sunshine yellow,#fdf6e3,Sunshine tint,3:2,600x400,PNG or WebP,Transparent,Lowest priority — placeholder is already the on-brand boat; do last
